row_id,category,true_label,model_label,reasoning,model_raw,latency_ms
4661,Sports_and_Outdoors_5,CG,OR,Deterministic fake response based on a hash of the prompt.,"OR
Deterministic fake response based on a hash of the prompt.",0
16267,Tools_and_Home_Improvement_5,OR,OR,Deterministic fake response based on a hash of the prompt.,"OR
Deterministic fake response based on a hash of the prompt.",0
14391,Movies_and_TV_5,CG,OR,Deterministic fake response based on a hash of the prompt.,"OR
Deterministic fake response based on a hash of the prompt.",0
13924,Movies_and_TV_5,CG,OR,Deterministic fake response based on a hash of the prompt.,"OR
Deterministic fake response based on a hash of the prompt.",0
32851,Toys_and_Games_5,OR,OR,Deterministic fake response based on a hash of the prompt.,"OR
Deterministic fake response based on a hash of the prompt.",0
6066,Sports_and_Outdoors_5,CG,OR,Deterministic fake response based on a hash of the prompt.,"OR
Deterministic fake response based on a hash of the prompt.",0
14324,Movies_and_TV_5,CG,CG,Deterministic fake response based on a hash of the prompt.,"CG
Deterministic fake response based on a hash of the prompt.",0
16488,Tools_and_Home_Improvement_5,OR,OR,Deterministic fake response based on a hash of the prompt.,"OR
Deterministic fake response based on a hash of the prompt.",0
32715,Books_5,CG,OR,Deterministic fake response based on a hash of the prompt.,"OR
Deterministic fake response based on a hash of the prompt.",0
32021,Books_5,OR,CG,Deterministic fake response based on a hash of the prompt.,"CG
Deterministic fake response based on a hash of the prompt.",0
17688,Tools_and_Home_Improvement_5,CG,OR,Deterministic fake response based on a hash of the prompt.,"OR
Deterministic fake response based on a hash of the prompt.",0
2082,Home_and_Kitchen_5,CG,CG,Deterministic fake response based on a hash of the prompt.,"CG
Deterministic fake response based on a hash of the prompt.",0
27490,Kindle_Store_5,CG,OR,Deterministic fake response based on a hash of the prompt.,"OR
Deterministic fake response based on a hash of the prompt.",0
34769,Toys_and_Games_5,OR,CG,Deterministic fake response based on a hash of the prompt.,"CG
Deterministic fake response based on a hash of the prompt.",0
3663,Home_and_Kitchen_5,CG,CG,Deterministic fake response based on a hash of the prompt.,"CG
Deterministic fake response based on a hash of the prompt.",0
5967,Sports_and_Outdoors_5,OR,CG,Deterministic fake response based on a hash of the prompt.,"CG
Deterministic fake response based on a hash of the prompt.",0
39910,Clothing_Shoes_and_Jewelry_5,OR,CG,Deterministic fake response based on a hash of the prompt.,"CG
Deterministic fake response based on a hash of the prompt.",0
24779,Kindle_Store_5,CG,CG,Deterministic fake response based on a hash of the prompt.,"CG
Deterministic fake response based on a hash of the prompt.",0
7331,Sports_and_Outdoors_5,OR,CG,Deterministic fake response based on a hash of the prompt.,"CG
Deterministic fake response based on a hash of the prompt.",0
36257,Toys_and_Games_5,OR,OR,Deterministic fake response based on a hash of the prompt.,"OR
Deterministic fake response based on a hash of the prompt.",0
27669,Kindle_Store_5,OR,CG,Deterministic fake response based on a hash of the prompt.,"CG
Deterministic fake response based on a hash of the prompt.",0
