row_id,category,true_label,model_label,reasoning,model_raw,latency_ms
23526,Pet_Supplies_5,CG,CG,"SIGNALS: Text contains internal contradictions (e.g. ""fish oil treatment"" followed by ""bed"" in same review), Describes wrong product or features item does not have, Same sentence or phrase repeated verbatim within the review JUSTIFICATION: The review incoherently shifts between discussing fish oil treatments, crate usage, and beds while repeating phrases like ""I am very happy"" and ""I am very pleased"" in a disjointed manner.","CG
SIGNALS: Text contains internal contradictions (e.g. ""fish oil treatment"" followed by ""bed"" in same review), Describes wrong product or features item does not have, Same sentence or phrase repeated verbatim within the review
JUSTIFICATION: The review incoherently shifts between discussing fish oil treatments, crate usage, and beds while repeating phrases like ""I am very happy"" and ""I am very pleased"" in a disjointed manner.",12621
22290,Pet_Supplies_5,CG,CG,"Perfect grammar with zero typos, reads like marketing copy, Generic praise interchangeable with any product in category, Text contains internal contradictions (e.g. ""not recommended"" followed by ""great product"" in same review), Sentences that are semantically nonsensical or logically impossible (e.g. ""I am a small dog"")","CG
Perfect grammar with zero typos, reads like marketing copy, Generic praise interchangeable with any product in category, Text contains internal contradictions (e.g. ""not recommended"" followed by ""great product"" in same review), Sentences that are semantically nonsensical or logically impossible (e.g. ""I am a small dog"")",6063
24927,Kindle_Store_5,OR,OR,"Typos (""so so""), informal language, and specific personal context (purchasing multiple books due to liking the story) align with genuine human review characteristics.","OR
Typos (""so so""), informal language, and specific personal context (purchasing multiple books due to liking the story) align with genuine human review characteristics.",8330
12633,Movies_and_TV_5,OR,UNPARSEABLE,"SIGNALS: No concrete use case or personal detail, Generic praise interchangeable with any product in category JUSTIFICATION: The review mentions a personal relationship (daughter being a fan) but lacks specific details about the movie's content or quality, relying on generic praise and minimal context.","LABEL: CG  
SIGNALS: No concrete use case or personal detail, Generic praise interchangeable with any product in category  
JUSTIFICATION: The review mentions a personal relationship (daughter being a fan) but lacks specific details about the movie's content or quality, relying on generic praise and minimal context.",13998
27490,Kindle_Store_5,CG,CG,"SIGNALS: Same sentence or phrase repeated verbatim within the review, Incentivised disclosure present JUSTIFICATION: The review contains multiple identical sentences about receiving a copy for an honest review and explicitly states incentivized disclosure, which are strong indicators of computer-generated text.","CG
SIGNALS: Same sentence or phrase repeated verbatim within the review, Incentivised disclosure present
JUSTIFICATION: The review contains multiple identical sentences about receiving a copy for an honest review and explicitly states incentivized disclosure, which are strong indicators of computer-generated text.",6591
5236,Sports_and_Outdoors_5,OR,UNPARSEABLE,"SIGNALS: Genuine enthusiasm with author-specific or product-specific references, Typos, informal spelling, or grammatical imperfections consistent with casual human writing JUSTIFICATION: The review includes a specific use case (muffling a riding lawn mower's noise) and casual phrasing (""This is great""), aligning with genuine human writing.","LABEL: OR  
SIGNALS: Genuine enthusiasm with author-specific or product-specific references, Typos, informal spelling, or grammatical imperfections consistent with casual human writing  
JUSTIFICATION: The review includes a specific use case (muffling a riding lawn mower's noise) and casual phrasing (""This is great""), aligning with genuine human writing.",16700
35141,Toys_and_Games_5,CG,UNPARSEABLE,"SIGNALS: Star rating contradicts review text, Generic praise interchangeable with any product in category, No concrete use case or personal detail JUSTIFICATION: The review contains contradictory statements about the star rating and lacks specific personal context or detailed use cases, aligning with CG signals.","LABEL: CG
SIGNALS: Star rating contradicts review text, Generic praise interchangeable with any product in category, No concrete use case or personal detail
JUSTIFICATION: The review contains contradictory statements about the star rating and lacks specific personal context or detailed use cases, aligning with CG signals.",5756
24779,Kindle_Store_5,CG,CG,"SIGNALS: Text truncates mid-sentence with no closing thought, Generic praise interchangeable with any product in category JUSTIFICATION: The review is cut off mid-sentence and uses generic, vague language typical of computer-generated text.","CG
SIGNALS: Text truncates mid-sentence with no closing thought, Generic praise interchangeable with any product in category
JUSTIFICATION: The review is cut off mid-sentence and uses generic, vague language typical of computer-generated text.",7626
17326,Tools_and_Home_Improvement_5,CG,CG,"SIGNALS: Text truncates mid-sentence with no closing thought, suggests a token generation limit, Sentences that are semantically nonsensical or logically impossible, Suspiciously short (under 10 words) or long (multi-paragraph for simple product) JUSTIFICATION: The review is truncated mid-sentence, contains logically impossible phrasing (""I need to turn the light on every time I turn it on""), and is suspiciously short with no coherent conclusion.","CG
SIGNALS: Text truncates mid-sentence with no closing thought, suggests a token generation limit, Sentences that are semantically nonsensical or logically impossible, Suspiciously short (under 10 words) or long (multi-paragraph for simple product)
JUSTIFICATION: The review is truncated mid-sentence, contains logically impossible phrasing (""I need to turn the light on every time I turn it on""), and is suspiciously short with no coherent conclusion.",12351
17557,Tools_and_Home_Improvement_5,OR,OR,"Typos, informal spelling (""HVAC thief""), and genuine personal context (specific product failure and purchasing experience) align with OR signals.","OR
Typos, informal spelling (""HVAC thief""), and genuine personal context (specific product failure and purchasing experience) align with OR signals.",6058
