row_id,category,true_label,model_label,reasoning,model_raw,latency_ms
4661,Sports_and_Outdoors_5,CG,CG,"The review contains awkward phrasing (""Purchased for my for her"") and lacks specific details about the product's features or usage, which are common signs of templated or auto-generated text.","CG  
The review contains awkward phrasing (""Purchased for my for her"") and lacks specific details about the product's features or usage, which are common signs of templated or auto-generated text.",10029
16267,Tools_and_Home_Improvement_5,OR,CG,"The review is extremely brief, generic, and lacks specific details about usage, personal experience, or unique qualities of the product, which are common traits of templated or auto-generated text.","CG  
The review is extremely brief, generic, and lacks specific details about usage, personal experience, or unique qualities of the product, which are common traits of templated or auto-generated text.",9656
14391,Movies_and_TV_5,CG,CG,"The review contains repetitive phrases (""The acting is...""), generic praise, and an incomplete sentence (""The movie is a fun""), which are common indicators of templated or auto-generated text rather than a natural human review.","CG  
The review contains repetitive phrases (""The acting is...""), generic praise, and an incomplete sentence (""The movie is a fun""), which are common indicators of templated or auto-generated text rather than a natural human review.",9646
13924,Movies_and_TV_5,CG,CG,"The review contains repetitive phrases (""The acting was great"") and overly generic praise, which are common indicators of templated or auto-generated text rather than a genuine human review.","CG  
The review contains repetitive phrases (""The acting was great"") and overly generic praise, which are common indicators of templated or auto-generated text rather than a genuine human review.",3925
32851,Toys_and_Games_5,OR,CG,"The review is extremely brief and uses generic praise (""well made,"" ""beautifully""), with minimal specific details beyond the product's compatibility with a doll. This templated phrasing and lack of personal anecdotes or nuanced language are common in auto-generated text.","CG  
The review is extremely brief and uses generic praise (""well made,"" ""beautifully""), with minimal specific details beyond the product's compatibility with a doll. This templated phrasing and lack of personal anecdotes or nuanced language are common in auto-generated text.",12334
6066,Sports_and_Outdoors_5,CG,CG,"The review uses repetitive phrasing (""I also like the fact that"") and lacks nuanced personal details, which are common indicators of templated or auto-generated text.","CG  
The review uses repetitive phrasing (""I also like the fact that"") and lacks nuanced personal details, which are common indicators of templated or auto-generated text.",6518
14324,Movies_and_TV_5,CG,CG,"The review contains repetitive phrasing and lacks specific details about the movie's content, suggesting it may be templated or auto-generated rather than a genuine human review.","CG  
The review contains repetitive phrasing and lacks specific details about the movie's content, suggesting it may be templated or auto-generated rather than a genuine human review.",6965
16488,Tools_and_Home_Improvement_5,OR,OR,"The review includes specific details about the product's use case (cutting PEX) and a balanced perspective (acknowledging both the tool's affordability and its difficulty to use), which aligns with the candid, personal tone of a real buyer.","OR  
The review includes specific details about the product's use case (cutting PEX) and a balanced perspective (acknowledging both the tool's affordability and its difficulty to use), which aligns with the candid, personal tone of a real buyer.",12622
32715,Books_5,CG,CG,"The review contains repetitive phrasing, generic praise, and inconsistencies (e.g., a 2.0 rating paired with overwhelmingly positive language), which are common indicators of templated or auto-generated text.","CG  
The review contains repetitive phrasing, generic praise, and inconsistencies (e.g., a 2.0 rating paired with overwhelmingly positive language), which are common indicators of templated or auto-generated text.",15865
32021,Books_5,OR,CG,"The review uses overly enthusiastic, repetitive phrasing (""MORE, MORE, and MORE""), generic praise (""witty, fun, sexy, steamy""), and a templated structure (e.g., criticizing repetitive references to past events in a formulaic way), which are common signs of language-model-generated text.","CG  
The review uses overly enthusiastic, repetitive phrasing (""MORE, MORE, and MORE""), generic praise (""witty, fun, sexy, steamy""), and a templated structure (e.g., criticizing repetitive references to past events in a formulaic way), which are common signs of language-model-generated text.",17191
17688,Tools_and_Home_Improvement_5,CG,CG,"The review repeats the phrase ""The sheath is"" multiple times in a formulaic manner and lacks natural variation in phrasing, which is characteristic of templated or auto-generated text.","CG  
The review repeats the phrase ""The sheath is"" multiple times in a formulaic manner and lacks natural variation in phrasing, which is characteristic of templated or auto-generated text.",7430
2082,Home_and_Kitchen_5,CG,OR,"The review includes specific, actionable details about the product's fragility and the user's need to replace it, which aligns with a real buyer's experience rather than generic or templated language.","OR  
The review includes specific, actionable details about the product's fragility and the user's need to replace it, which aligns with a real buyer's experience rather than generic or templated language.",11974
27490,Kindle_Store_5,CG,CG,"The review contains repetitive, templated phrases about receiving a copy in exchange for a review and lacks specific, personal details about the book's content, which is a common indicator of generated text.","CG  
The review contains repetitive, templated phrases about receiving a copy in exchange for a review and lacks specific, personal details about the book's content, which is a common indicator of generated text.",6313
34769,Toys_and_Games_5,OR,CG,"The review contains awkward phrasing (""this toys,"" ""They're both are NOT related"") and lacks specific details about the product's features or usage, which are common signs of templated or auto-generated text.","CG  
The review contains awkward phrasing (""this toys,"" ""They're both are NOT related"") and lacks specific details about the product's features or usage, which are common signs of templated or auto-generated text.",11498
3663,Home_and_Kitchen_5,CG,CG,"The review contains repetitive phrasing (""sturdy,"" ""rubber parts""), generic praise, and an abrupt cutoff (""I was able to find some sheets that are made of""), which are common indicators of templated or auto-generated text. The mention of ""the baby is very soft"" also feels oddly misplaced and lacks the natural, specific detail typical of a genuine user experience.","CG  
The review contains repetitive phrasing (""sturdy,"" ""rubber parts""), generic praise, and an abrupt cutoff (""I was able to find some sheets that are made of""), which are common indicators of templated or auto-generated text. The mention of ""the baby is very soft"" also feels oddly misplaced and lacks the natural, specific detail typical of a genuine user experience.",15095
5967,Sports_and_Outdoors_5,OR,OR,"The review includes specific details about purchasing multiple kits for children and comparing performance to higher-priced alternatives, which aligns with a real buyer's perspective. While some phrasing is generic, the specificity of the purchase and usage context suggests authenticity.","OR  
The review includes specific details about purchasing multiple kits for children and comparing performance to higher-priced alternatives, which aligns with a real buyer's perspective. While some phrasing is generic, the specificity of the purchase and usage context suggests authenticity.",10276
