row_id,category,true_label,model_label,reasoning,model_raw,latency_ms
4661,Sports_and_Outdoors_5,CG,OR,"The review contains a minor grammatical error (""for my for her"") and a personal context (""purchased for her husband""), which align with genuine human writing rather than bot-generated or disingenuous content.","OR  
The review contains a minor grammatical error (""for my for her"") and a personal context (""purchased for her husband""), which align with genuine human writing rather than bot-generated or disingenuous content.",20331
16267,Tools_and_Home_Improvement_5,OR,CG,"SIGNALS: Generic praise interchangeable with any product in category, No personal context, scenario, or opinion whatsoever, Uniform sentence length and structure throughout JUSTIFICATION: The review uses generic, interchangeable praise (""good quality product that will last a long time"") and lacks personal context or specific use cases, aligning with CG signals.","CG  
SIGNALS: Generic praise interchangeable with any product in category, No personal context, scenario, or opinion whatsoever, Uniform sentence length and structure throughout  
JUSTIFICATION: The review uses generic, interchangeable praise (""good quality product that will last a long time"") and lacks personal context or specific use cases, aligning with CG signals.",36128
14391,Movies_and_TV_5,CG,CG,"Repetition of phrases (""The acting is...""), generic praise, and uniform sentence structure suggest a bot-generated review.","CG  
Repetition of phrases (""The acting is...""), generic praise, and uniform sentence structure suggest a bot-generated review.",27547
13924,Movies_and_TV_5,CG,CG,"The review uses generic praise, repetitive phrasing (""the acting was great""), lacks personal context, and has a stilted, formulaic structure with vague superlatives.","CG  
The review uses generic praise, repetitive phrasing (""the acting was great""), lacks personal context, and has a stilted, formulaic structure with vague superlatives.",38233
32851,Toys_and_Games_5,OR,OR,"The review provides a specific use case (""fits 18 in Madame Alexander doll"") and avoids generic praise, aligning with genuine human experience rather than bot or disingenuous signals.","OR
The review provides a specific use case (""fits 18 in Madame Alexander doll"") and avoids generic praise, aligning with genuine human experience rather than bot or disingenuous signals.",41484
6066,Sports_and_Outdoors_5,CG,OR,"The review includes personal context (""my first set""), specific product details (no padding, don't slip), and concrete opinions about comfort, which align with genuine human experience rather than bot or disingenuous signals.","OR  
The review includes personal context (""my first set""), specific product details (no padding, don't slip), and concrete opinions about comfort, which align with genuine human experience rather than bot or disingenuous signals.",42199
14324,Movies_and_TV_5,CG,CG,"Signals include generic praise, no personal context, and a stilted, repetitive tone. The review lacks specific details about the movie's content or personal experience, and the repetitive structure suggests it was generated by a bot.","CG  
Signals include generic praise, no personal context, and a stilted, repetitive tone. The review lacks specific details about the movie's content or personal experience, and the repetitive structure suggests it was generated by a bot.",44386
16488,Tools_and_Home_Improvement_5,OR,OR,"The review includes personal context (""for a DIYer like me"") and concrete details about usability and price, aligning with genuine human experience rather than bot or disingenuous signals.","OR
The review includes personal context (""for a DIYer like me"") and concrete details about usability and price, aligning with genuine human experience rather than bot or disingenuous signals.",48258
32715,Books_5,CG,CG,"The review contains generic praise, repetitive phrasing, and lacks personal context or specific use cases, all strong indicators of a computer-generated review.","CG  
The review contains generic praise, repetitive phrasing, and lacks personal context or specific use cases, all strong indicators of a computer-generated review.",39278
32021,Books_5,OR,OR,"The review includes personal context (e.g., specific plot details, emotional reactions to scenes), varied sentence structure, and genuine enthusiasm without generic or formulaic language, aligning with human-generated content.","OR  
The review includes personal context (e.g., specific plot details, emotional reactions to scenes), varied sentence structure, and genuine enthusiasm without generic or formulaic language, aligning with human-generated content.",26394
17688,Tools_and_Home_Improvement_5,CG,UNPARSEABLE,"SIGNALS: Star rating contradicts review text JUSTIFICATION: The review contains a 5.0 star rating but describes significant product flaws (sheath being too long, small, heavy, and hard to use), indicating a contradiction between the rating and the content, a key HD signal.","HD  
SIGNALS: Star rating contradicts review text  
JUSTIFICATION: The review contains a 5.0 star rating but describes significant product flaws (sheath being too long, small, heavy, and hard to use), indicating a contradiction between the rating and the content, a key HD signal.",57269
2082,Home_and_Kitchen_5,CG,OR,"The review includes specific, personal details about the product's fragility and a concrete use case (replacing it), which align with genuine human experience rather than bot or disingenuous signals.","OR  
The review includes specific, personal details about the product's fragility and a concrete use case (replacing it), which align with genuine human experience rather than bot or disingenuous signals.",37353
27490,Kindle_Store_5,CG,UNPARSEABLE,"SIGNALS: incentivised disclosure present, repetition of identical phrases JUSTIFICATION: The review contains multiple repetitions of the same incentivised disclosure phrase (""I received a copy... for an honest review"") and explicitly states receiving an ARC copy in exchange for a review, which strongly indicates a human disingenuous review.","HD  
SIGNALS: incentivised disclosure present, repetition of identical phrases  
JUSTIFICATION: The review contains multiple repetitions of the same incentivised disclosure phrase (""I received a copy... for an honest review"") and explicitly states receiving an ARC copy in exchange for a review, which strongly indicates a human disingenuous review.",46909
34769,Toys_and_Games_5,OR,OR,"The review includes personal context (""My kids are loving this toys"") and references a specific product, though it has minor grammatical issues and vague praise, which are more consistent with a genuine human review than bot or disingenuous signals.","OR  
The review includes personal context (""My kids are loving this toys"") and references a specific product, though it has minor grammatical issues and vague praise, which are more consistent with a genuine human review than bot or disingenuous signals.",36954
3663,Home_and_Kitchen_5,CG,OR,"The review includes personal context, specific product details, and a balanced perspective with both positive and negative aspects, indicating a genuine human experience.","OR  
The review includes personal context, specific product details, and a balanced perspective with both positive and negative aspects, indicating a genuine human experience.",36043
5967,Sports_and_Outdoors_5,OR,OR,"The review includes specific personal context (ordering kits for children) and concrete use cases, which align with genuine human experiences rather than generic or disingenuous signals.","OR  
The review includes specific personal context (ordering kits for children) and concrete use cases, which align with genuine human experiences rather than generic or disingenuous signals.",42379
39910,Clothing_Shoes_and_Jewelry_5,OR,OR,"The review includes personal context, specific use cases (trying on shoes in person, adjusting size), and detailed experiences (tightness, stretching over time), which are indicative of a genuine human review.","OR  
The review includes personal context, specific use cases (trying on shoes in person, adjusting size), and detailed experiences (tightness, stretching over time), which are indicative of a genuine human review.",48867
24779,Kindle_Store_5,CG,OR,"The review contains specific, descriptive language about the product's content and characters, suggesting genuine human experience rather than bot-generated or disingenuous content.","OR  
The review contains specific, descriptive language about the product's content and characters, suggesting genuine human experience rather than bot-generated or disingenuous content.",50190
7331,Sports_and_Outdoors_5,OR,CG,"Signals include HTML code elements and product-specific technical details, but the presence of hidden input fields and structured formatting suggests automated generation.","CG  
Signals include HTML code elements and product-specific technical details, but the presence of hidden input fields and structured formatting suggests automated generation.",35592
36257,Toys_and_Games_5,OR,OR,"The review includes personal context (e.g., daughter's age, specific interactions with the toy), concrete use cases, and detailed criticisms, which align with genuine human experience rather than bot or disingenuous signals.","OR  
The review includes personal context (e.g., daughter's age, specific interactions with the toy), concrete use cases, and detailed criticisms, which align with genuine human experience rather than bot or disingenuous signals.",33909
27669,Kindle_Store_5,OR,OR,"The review provides specific, nuanced analysis of the book's plot, characters, and evolution, with personal opinions and context that align with genuine human experience.","OR  
The review provides specific, nuanced analysis of the book's plot, characters, and evolution, with personal opinions and context that align with genuine human experience.",36895
27694,Kindle_Store_5,CG,OR,"The review includes personal context (""I read it in a day,"" ""I didn't like how it was labeled"") and specific details about the book's content, aligning with genuine human experience despite mentioning an incentivised disclosure.","OR  
The review includes personal context (""I read it in a day,"" ""I didn't like how it was labeled"") and specific details about the book's content, aligning with genuine human experience despite mentioning an incentivised disclosure.",63159
18018,Tools_and_Home_Improvement_5,CG,OR,"The review includes personal context (""much quieter than the ones I bought locally""), specific product details (""plastic parts are very sturdy""), and concrete use cases, which align with genuine human experience rather than bot or disingenuous signals.","OR
The review includes personal context (""much quieter than the ones I bought locally""), specific product details (""plastic parts are very sturdy""), and concrete use cases, which align with genuine human experience rather than bot or disingenuous signals.",33097
36800,Clothing_Shoes_and_Jewelry_5,OR,OR,"The review includes personal context (""Been wearing 501s since the late 1970s"") and specific product reference, aligning with genuine human experience rather than generic or disingenuous signals.","OR  
The review includes personal context (""Been wearing 501s since the late 1970s"") and specific product reference, aligning with genuine human experience rather than generic or disingenuous signals.",43927
3000,Home_and_Kitchen_5,CG,OR,"The review includes personal context, specific feedback about product functionality, and a moderate rating, aligning with genuine human experience rather than bot or disingenuous signals.","OR  
The review includes personal context, specific feedback about product functionality, and a moderate rating, aligning with genuine human experience rather than bot or disingenuous signals.",30461
15255,Movies_and_TV_5,CG,CG,"The review contains generic praise, repetitive phrasing (""I can't say enough about it""), and lacks concrete personal context or unique use cases, aligning with bot-generated text patterns.","CG  
The review contains generic praise, repetitive phrasing (""I can't say enough about it""), and lacks concrete personal context or unique use cases, aligning with bot-generated text patterns.",34874
